student_id,opportunity_id,interaction
91,0,1
29,51,1
31,21,1
91,40,1
91,82,1
50,88,1
50,61,1
76,89,1
36,41,1
88,54,1
59,73,1
70,87,1
67,71,1
9,32,1
14,20,1
60,73,1
30,24,1
61,61,1
60,52,1
1,48,1
20,19,1
47,85,1
68,13,1
12,44,1
59,23,1
83,48,1
71,0,1
99,83,1
91,58,1
26,97,1
75,41,1
18,28,1
37,31,1
79,71,1
50,39,1
48,13,1
34,13,1
30,62,1
20,48,1
50,1,1
50,86,1
15,29,1
34,85,1
52,97,1
44,7,1
31,47,1
44,75,1
19,89,1
67,57,1
20,53,1
42,92,1
44,21,1
35,3,1
23,9,1
11,75,1
27,87,1
13,50,1
61,74,1
36,26,1
71,4,1
25,35,1
8,17,1
74,58,1
8,3,1
16,30,1
63,52,1
92,31,1
90,35,1
81,12,1
8,82,1
45,99,1
83,83,1
77,8,1
48,56,1
5,52,1
98,3,1
89,44,1
95,90,1
62,65,1
50,38,1
25,49,1
79,73,1
97,38,1
24,57,1
59,67,1
37,80,1
30,7,1
56,2,1
41,30,1
55,44,1
36,42,1
59,54,1
13,73,1
42,85,1
4,85,1
64,87,1
66,62,1
48,88,1
99,43,1
93,25,1
61,77,1
94,18,1
75,55,1
23,79,1
69,93,1
21,71,1
16,97,1
98,14,1
29,75,1
97,91,1
33,52,1
71,37,1
17,54,1
2,46,1
5,67,1
98,78,1
56,79,1
91,26,1
2,61,1
16,76,1
77,62,1
21,45,1
69,71,1
49,7,1
42,70,1
45,47,1
5,45,1
64,55,1
84,49,1
5,25,1
49,94,1
29,81,1
10,45,1
88,50,1
0,96,1
37,23,1
57,5,1
28,70,1
39,79,1
66,83,1
30,47,1
73,27,1
82,39,1
33,54,1
17,90,1
38,34,1
25,78,1
37,25,1
84,16,1
8,37,1
79,90,1
22,64,1
89,54,1
8,14,1
98,0,1
41,4,1
78,80,1
27,59,1
41,84,1
6,32,1
81,75,1
0,39,1
27,30,1
8,4,1
51,79,1
66,94,1
73,48,1
78,50,1
6,21,1
18,7,1
33,90,1
46,14,1
80,90,1
39,2,1
84,17,1
86,26,1
70,14,1
79,80,1
22,94,1
49,47,1
23,6,1
58,44,1
93,90,1
7,43,1
81,51,1
20,68,1
57,83,1
57,19,1
51,13,1
31,99,1
41,42,1
12,73,1
35,97,1
0,22,1
94,47,1
23,39,1
70,59,1
88,31,1
64,41,1
40,31,1
51,70,1
62,87,1
2,96,1
20,21,1
47,74,1
35,65,1
34,91,1
53,10,1
48,46,1
93,31,1
67,25,1
46,55,1
10,90,1
67,93,1
73,12,1
48,79,1
97,88,1
49,27,1
31,68,1
53,79,1
49,72,1
83,53,1
50,11,1
45,66,1
28,39,1
69,90,1
50,70,1
25,76,1
25,3,1
74,42,1
75,87,1
74,35,1
3,55,1
78,93,1
22,48,1
65,95,1
1,21,1
83,51,1
80,71,1
95,31,1
5,93,1
77,60,1
13,31,1
51,92,1
40,54,1
66,43,1
5,23,1
73,99,1
8,95,1
37,57,1
10,80,1
88,67,1
95,54,1
62,55,1
42,69,1
21,31,1
35,95,1
66,53,1
2,70,1
57,12,1
48,74,1
55,25,1
6,8,1
18,12,1
85,30,1
20,64,1
95,25,1
78,34,1
26,30,1
46,17,1
65,78,1
93,45,1
40,90,1
98,98,1
57,75,1
97,70,1
41,55,1
13,90,1
84,40,1
98,58,1
72,66,1
89,90,1
54,37,1
21,34,1
14,16,1
24,80,1
32,75,1
30,83,1
7,28,1
90,95,1
46,26,1
26,17,1
63,73,1
74,3,1
63,44,1
26,98,1
18,75,1
6,28,1
88,57,1
34,61,1
26,40,1
20,12,1
75,37,1
85,35,1
76,36,1
77,15,1
97,1,1
52,33,1
2,74,1
28,22,1
84,87,1
98,41,1
81,24,1
23,38,1
78,54,1
27,65,1
80,52,1
58,45,1
7,62,1
49,62,1
44,68,1
35,49,1
29,24,1
92,80,1
