student_id,skills,interests,willingness,work_calendar
0,"Python, C++",tech development,low,"Tue,Sat,Mon,Wed"
1,"Social Media, Marketing",community outreach,medium,"Fri,Wed,Mon,Sat,Sun"
2,"Python, C++",tech development,low,"Thu,Sat,Fri,Tue"
3,"Public Speaking, Teaching",community service,high,"Fri,Tue,Sun,Mon"
4,"Python, C++",youth education,high,"Fri,Sun"
5,"Environmental, Research",data analysis,high,"Wed,Tue,Sun,Sat"
6,"Social Media, Marketing",fundraising,low,"Sun,Tue"
7,"Social Media, Marketing",fundraising,high,"Sun,Thu,Wed,Sat"
8,"Public Speaking, Teaching",community service,high,"Tue,Wed"
9,"Social Media, Marketing",fundraising,low,"Sun,Mon,Wed,Sat,Tue"
10,"Environmental, Research",data analysis,medium,"Fri,Thu,Sun,Tue"
11,"Social Media, Marketing",community outreach,high,"Sat,Wed,Tue,Thu,Mon"
12,"Environmental, Research",data analysis,low,"Sat,Mon,Wed,Tue,Thu"
13,"Environmental, Research",conservation,high,"Thu,Sun,Tue"
14,"Public Speaking, Teaching",youth education,medium,"Fri,Tue,Wed,Sun,Sat"
15,"Python, C++",youth education,low,"Tue,Sun,Fri,Mon"
16,"Public Speaking, Teaching",community service,low,"Mon,Sat"
17,"Environmental, Research",conservation,low,"Mon,Sat"
18,"Social Media, Marketing",animal welfare,high,"Thu,Sun"
19,"Public Speaking, Teaching",mentoring,low,"Sat,Mon,Tue"
20,"Social Media, Marketing",community outreach,high,"Thu,Sun,Wed"
21,"Environmental, Research",data analysis,medium,"Sun,Mon,Thu,Fri"
22,"Social Media, Marketing",animal welfare,high,"Wed,Sun,Thu"
23,"Python, C++",robotics,medium,"Mon,Sat,Sun,Tue"
24,"Environmental, Research",data analysis,low,"Wed,Fri"
25,"Public Speaking, Teaching",youth education,medium,"Tue,Mon,Fri,Wed,Thu"
26,"Public Speaking, Teaching",youth education,high,"Sat,Tue,Sun,Wed"
27,"Public Speaking, Teaching",youth education,medium,"Thu,Fri,Sun,Wed,Tue"
28,"Python, C++",youth education,high,"Sun,Fri"
29,"Social Media, Marketing",community outreach,medium,"Fri,Tue,Wed,Thu"
