slot_id,opportunity_id,date,start_time,end_time,max_participants,current_participants,status
1,0,2024-01-15,09:00,12:00,5,2,available
2,0,2024-01-15,14:00,17:00,5,0,available
3,0,2024-01-16,10:00,13:00,5,1,available
4,1,2024-01-16,09:00,12:00,3,0,available
5,1,2024-01-17,14:00,16:00,3,0,available
6,2,2024-01-18,08:00,11:00,4,0,available
7,2,2024-01-18,13:00,16:00,4,0,available
8,3,2024-01-19,09:00,12:00,6,0,available
9,4,2024-01-20,10:00,14:00,5,0,available
10,5,2024-01-21,09:00,12:00,4,0,available
11,6,2024-01-22,14:00,17:00,3,0,available
12,7,2024-01-23,08:00,11:00,5,0,available
13,8,2024-01-24,13:00,16:00,4,0,available
14,9,2024-01-25,09:00,12:00,6,0,available
15,10,2024-01-26,10:00,13:00,5,0,available
16,11,2024-01-27,14:00,17:00,4,0,available
17,12,2024-01-28,09:00,12:00,3,0,available
18,13,2024-01-29,08:00,11:00,5,0,available
19,14,2024-01-30,13:00,16:00,4,0,available
20,15,2024-01-31,10:00,14:00,6,0,available
